Lat,Lon
42.01727998318915,-93.62038892241958
42.01759120837168,-93.62039817449062
42.01570006572941,-93.62039906686753
42.016940332578216,-93.62037452222687
42.031331035741474,-93.62039013135517
42.03021953154063,-93.62038564016673
42.02771944759937,-93.62036939583908
42.018029198233805,-93.62038757818104
42.02597169265635,-93.62038189743595
42.03209900359825,-93.62037306182975
42.01535623394397,-93.62037733735501
42.03154500040326,-93.62037745907477
42.021745443133035,-93.6203922057451
42.030283376900144,-93.62039672808258
42.01476967706074,-93.62037837512935
42.016807223612616,-93.62038619820883
42.02577853083387,-93.62039138498419
42.01602645473714,-93.620371912504
42.019748406263,-93.62039011384107
42.03288754408187,-93.62039369324785
42.01760757307758,-93.62038998836859
42.03401026264106,-93.62037638588042
42.02218650825748,-93.62037872548089
42.01475182272013,-93.62038201393642
42.014980021893706,-93.6203836494828
42.02223422346855,-93.62037990038691
42.01781417835205,-93.62037406412145
42.02714465307436,-93.62039849528696
42.020183726438816,-93.62037988066984
42.03305392432401,-93.62037393569007
42.02361014605878,-93.62038266891996
42.03113740541772,-93.6203839196665
42.02708587657462,-93.62037411499745
42.027936629327314,-93.62036980038302
42.02313036883008,-93.62039915200641
42.031105739573604,-93.62039000234756
42.01629503986119,-93.62038070564
42.0335336967726,-93.62038406804085
42.027178230359695,-93.62037228362084
42.03233700090356,-93.62037182845526
42.03397342810572,-93.62039163185523
42.02537322093669,-93.6203799243173
42.029785330997996,-93.62038990708541
42.02006509965014,-93.62039366428641
42.014904254727426,-93.6203950806837
42.03203225304398,-93.62037105326543
42.0229132137892,-93.62037260093476
42.0251196769586,-93.62039671926325
42.03206928096124,-93.620388855766
42.02367624575327,-93.62037897882205
42.02936628387428,-93.62039480722446
42.01959036611446,-93.62038788556885
42.02089671562985,-93.62038613353211
42.028607672679364,-93.62038785054435
42.021495081034274,-93.6203810914687
42.017035207759115,-93.62037273016736
42.01916630228963,-93.62038431141654
42.03337590664429,-93.6203882756215
42.021174153307015,-93.6203961510009
42.020670107386266,-93.62037805343991
42.02538158915229,-93.62037764362131
42.0271297875571,-93.62037046290347
42.034416458774245,-93.62037448232617
42.02245281457913,-93.62039333957745
42.025509563340194,-93.62038649657413
42.02856504797185,-93.62037092027141
42.02152385000864,-93.62039399845536
42.01990131015168,-93.62039748329136
42.0154360162855,-93.62039762569916
42.033560947120016,-93.62039220459478
42.01817967611028,-93.62036924432216
42.02794821333031,-93.62039052777234
42.01651383072726,-93.62038104210998
42.01583658505706,-93.62039325802043
42.01856862805026,-93.62038007987199
42.03063412563852,-93.62037267811844
42.033751266058324,-93.62038058963887
42.03046983770247,-93.6203828630615
42.03482167975862,-93.62039059580519
42.01666588858698,-93.62039708725375
42.02860307051252,-93.62036981507318
42.03273162855088,-93.62039602754872
42.01583271209004,-93.62037058574435
42.02485697385,-93.62039998392011
42.023036479100746,-93.62037573948038
42.02513878820622,-93.6203926120875
42.018140040175,-93.62038013038149
42.03005174808428,-93.62038922828017
42.03091162178677,-93.62036990566645
